"id","name","parent_id","parent_name"
2486,Катушки рыболовные,239,Спортивный товар
2487,Кормушки рыболовные,239,Спортивный товар
2488,Ледоступы,239,Спортивный товар
2489,Леска рыболовная,239,Спортивный товар
2490,Мормышки,239,Спортивный товар
2491,Наборы балансиров,239,Спортивный товар
2492,Крючки рыболовные,239,Спортивный товар
2493,Поводки для жерлиц,239,Спортивный товар
2494,Держатели зубной нити,49,Красота
2495,Плоскогубцы рыболовные,239,Спортивный товар
2496,Съемники крючков,239,Спортивный товар
2498,Черпаки-шумовки рыбацкие,239,Спортивный товар
2499,Наборы для рыбалки,239,Спортивный товар
2500,Грузила,239,Спортивный товар
2501,Воблеры,239,Спортивный товар
2502,Поплавки,239,Спортивный товар
2503,Заводные кольца,239,Спортивный товар
2504,Раколовки,239,Спортивный товар
2505,Блесны рыболовные,239,Спортивный товар
2506,Подставки под удочки,239,Спортивный товар
2507,Рогатки рыболовные,239,Спортивный товар
2508,Удилища,239,Спортивный товар
2510,Сигнализаторы клева,239,Спортивный товар
2511,Чехлы для удочек,1605,Спортивные аксессуары
2512,Подсачники,239,Спортивный товар
2514,Малечницы,239,Спортивный товар
2515,Контейнеры медицинские,4268,Здоровье
2516,Ремни безопасности для животных,723,Товары для животных
2517,Духовые шкафы,5495,Крупная бытовая техника
2518,Мантоварки,1590,Посуда и инвентарь
2519,Диваны,7580,Мебель
2520,Скамейки садовые,7580,Мебель
2521,Цветы стабилизированные,195,Дом
2522,Переключатели велосипедные,239,Спортивный товар
2523,Кассеты велосипедные,239,Спортивный товар
2524,Трещотки велосипедные,239,Спортивный товар
2525,Шипы-накладки на обувь,239,Спортивный товар
2527,Вантузы,1077,Хозяйственные товары
2528,Прессы для зубной пасты,195,Дом
2529,Ремкомплекты для надувной мебели,6945,Товары для отдыха и кемпинга
2530,Слинги с кольцами,883,Товары для малышей
2531,Снаряды для единоборств,239,Спортивный товар
2532,Полки для ванной,2051,Сантехника
2533,Заменители грудного молока,2638,Детское питание
2534,Дверные замки электронные,657,Бытовая техника
2535,Леггинсы ч/н,4,Белье
2536,Зажимы для пакетов,1590,Посуда и инвентарь
2537,Браслеты безопасности,479,Электроника
2538,Фототюль,1616,Шторы и аксессуары
2539,Пояса разогревочные,1605,Спортивные аксессуары
2540,Граверы,1162,Строительные инструменты
2541,Тепловентиляторы,657,Бытовая техника
2542,Конвекторы,657,Бытовая техника
2543,Тепловые завесы,657,Бытовая техника
2544,Мантии,1,Одежда
2545,Средства для бассейнов,6945,Товары для отдыха и кемпинга
2546,Рашгарды,1513,Спортивная одежда
2547,Игрушки антистресс,7,Игрушки
2548,Очки для селфи,479,Электроника
2549,Радиаторы отопления,2051,Сантехника
2550,Тепловые пушки,1162,Строительные инструменты
2551,Наборы для слэклайна,239,Спортивный товар
2552,Пленка пищевая,1077,Хозяйственные товары
2553,Бумага пищевая,1077,Хозяйственные товары
2554,Рукава для запекания,1590,Посуда и инвентарь
2555,Баски,3,Аксессуары
2556,Наборы-кейсы,7,Игрушки
2557,Заготовки для поделок,1284,Рукоделие
2558,Держатели щитков,1605,Спортивные аксессуары
2559,Защитные кольца для смартфонов,6258,Смартфоны и аксессуары
2560,"3D очки",479,Электроника
2561,Подставки для электроники,6258,Смартфоны и аксессуары
2562,Инверторы автомобильные,6240,Автоэлектроника
2563,Шнурки для очков,3,Аксессуары
2564,Компрессионные шорты,4268,Здоровье
2565,Инструменты для бровей,49,Красота
2566,Корзинки для фритюра,1590,Посуда и инвентарь
2567,Холсты,1284,Рукоделие
2568,Пастель,571,Канцелярские товары
2569,Аэраторы и скарификаторы газонные,2240,Садовая техника
2571,Держатели для очков,3,Аксессуары
2572,Рубашки для малышей,4607,Одежда для малышей
2573,Палитры,571,Канцелярские товары
2574,Фартуки художественные,571,Канцелярские товары
2575,Кистемойки,571,Канцелярские товары
2576,Разбавители художественные,571,Канцелярские товары
2577,Масла художественные,571,Канцелярские товары
2578,Грунты художественные,571,Канцелярские товары
2579,Пасты художественные,571,Канцелярские товары
2580,Глина для лепки,1284,Рукоделие
2581,Спальные мешки для малышей,4607,Одежда для малышей
2582,Аппараты для сахарной ваты,1521,Техника для кухни
2583,Сковороды электрические,1521,Техника для кухни
2584,Паровые швабры,657,Бытовая техника
2585,Пароочистители,657,Бытовая техника
2586,Светильники переносные,2050,Строительные материалы
2587,Электрические одеяла,657,Бытовая техника
2588,Пакеты для вакууматора,657,Бытовая техника
2589,Аксессуары для паровых станций,657,Бытовая техника
2590,Ионизаторы воздуха,657,Бытовая техника
2591,Мешочки для хранения,1598,Хранение вещей
2592,Полоски для депиляции,49,Красота
2593,Полоски для век,49,Красота
2594,Матрасы для переносок,883,Товары для малышей
2595,Торшеры,195,Дом
2596,Трусы эротик,5038,Товары для взрослых
2597,Ловушки для ос,6945,Товары для отдыха и кемпинга
2598,Прессы для сока,1590,Посуда и инвентарь
2599,Подставки для яиц,1590,Посуда и инвентарь
2600,Грации,4,Белье
2602,Боди эротик,5038,Товары для взрослых
2603,Бюстгальтеры эротик,5038,Товары для взрослых
2604,Грации эротик,5038,Товары для взрослых
2605,Колготки эротик,5038,Товары для взрослых
2606,Комбинезоны эротик,5038,Товары для взрослых
2607,Комплекты эротик,5038,Товары для взрослых
2608,Корсеты эротик,5038,Товары для взрослых
2609,Леггинсы эротик,5038,Товары для взрослых
2610,Накидки эротик,5038,Товары для взрослых
2611,Неглиже эротик,5038,Товары для взрослых
2612,Пеньюары эротик,5038,Товары для взрослых
2613,Платья эротик,5038,Товары для взрослых
2614,Пояса эротик,5038,Товары для взрослых
2615,Топы эротик,5038,Товары для взрослых
2616,Чулки эротик,5038,Товары для взрослых
2617,Шорты эротик,5038,Товары для взрослых
2618,Юбки эротик,5038,Товары для взрослых
2619,Наборы для опытов,7,Игрушки
2620,Автотреки,7,Игрушки
2621,Чехлы для песочниц,7,Игрушки
2622,Комбидресс,4,Белье
2623,Торсеты,4,Белье
2624,Нарукавники рабочие,6119,Спецодежда и СИЗы
2625,Перчатки ММА,1605,Спортивные аксессуары
2626,Восковые полоски,49,Красота
2627,Пасты для шугаринга,49,Красота
2628,Декоративные полотна,195,Дом
2629,Пояса атлетические,1605,Спортивные аксессуары
2630,Подсветка для ноутбука,6238,Ноутбуки и компьютеры
2631,Канекалон,1465,Аксессуары для волос
2632,Удалитель накладных ресниц,49,Красота
2633,Антисептик для бань,6945,Товары для отдыха и кемпинга
2634,Масло деревозащитное,8555,Отделочные материалы
2635,Полотенца бумажные,1077,Хозяйственные товары
2636,Ножи садовые,6946,Садовые инструменты
2637,Ранцы,3,Аксессуары
2638,Детское питание,0,""
2639,Каши детские,2638,Детское питание
2640,Пюре детские,2638,Детское питание
2641,Чай детский,2638,Детское питание
2642,Супы детские,2638,Детское питание
2643,Печенье детское,2638,Детское питание
2644,Масло пищевое детское,2638,Детское питание
2645,Соки детские,2638,Детское питание
2646,Вода детская,2638,Детское питание
2647,Питание для кормящих и беременных,2638,Детское питание
2648,Бандажи косметические,49,Красота
2649,Кигуруми,1,Одежда
2650,Ножи сувенирные,195,Дом
2651,Чалма,6,Головные уборы
2652,Перчатки одноразовые,6119,Спецодежда и СИЗы
2653,Бахилы,6119,Спецодежда и СИЗы
2654,Шапочки одноразовые,6119,Спецодежда и СИЗы
2655,Маски медицинские,4268,Здоровье
